# rho, Re(G), Im(G)
  8.961923847695E-01  7.656831540888E-02  4.592680401329E-02
  8.987975951904E-01  7.369130376894E-02  4.357560284868E-02
  9.014028056112E-01  7.074716458173E-02  4.122028346159E-02
  9.040080160321E-01  6.772873366545E-02  3.887204207020E-02
  9.066132264529E-01  6.463204831197E-02  3.654473628224E-02
  9.092184368737E-01  6.145236670899E-02  3.425108408846E-02
  9.118236472946E-01  5.818755019898E-02  3.200539780000E-02
  9.144288577154E-01  5.483756693760E-02  2.982271535291E-02
  9.170340681363E-01  5.140186588905E-02  2.771672044204E-02
  9.196392785571E-01  4.788410694453E-02  2.570281855131E-02
  9.222444889780E-01  4.428701567752E-02  2.379447233591E-02
  9.248496993988E-01  4.061660790816E-02  2.200570066832E-02
  9.274549098196E-01  3.687841829687E-02  2.034875276798E-02
  9.300601202405E-01  3.308061702674E-02  1.883567247814E-02
  9.326653306613E-01  2.923415631301E-02  1.747805116859E-02
  9.352705410822E-01  2.534678270474E-02  1.628424009981E-02
  9.378757515030E-01  2.143159350551E-02  1.526316666137E-02
  9.404809619238E-01  1.750040430070E-02  1.442136776292E-02
  9.430861723447E-01  1.356669423629E-02  1.376396289455E-02
  9.456913827655E-01  9.643650160636E-03  1.329431771386E-02
  9.482965931864E-01  5.744650399337E-03  1.301413223085E-02
  9.509018036072E-01  1.884094792186E-03  1.292348245992E-02
  9.535070140281E-01 -1.922118497375E-03  1.302096130704E-02
  9.561122244489E-01 -5.657905769010E-03  1.330357753672E-02
  9.587174348697E-01 -9.312362522178E-03  1.376571741679E-02
  9.613226452906E-01 -1.287221096634E-02  1.440119938925E-02
  9.639278557114E-01 -1.632232704110E-02  1.520208882973E-02
  9.665330661323E-01 -1.965195739540E-02  1.615898831940E-02
  9.691382765531E-01 -2.284647929152E-02  1.726138718158E-02
  9.717434869739E-01 -2.590006152596E-02  1.849789964250E-02
  9.743486973948E-01 -2.879838548580E-02  1.985541989379E-02
  9.769539078156E-01 -3.153601011386E-02  2.132060433495E-02
  9.795591182365E-01 -3.410714940521E-02  2.287999636098E-02
  9.821643286573E-01 -3.650491088980E-02  2.451883771247E-02
  9.847695390782E-01 -3.872651011267E-02  2.622210848197E-02
  9.873747494990E-01 -4.076871261048E-02  2.797558634937E-02
  9.899799599198E-01 -4.263094019508E-02  2.976421400115E-02
  9.925851703407E-01 -4.431400020799E-02  3.157342852612E-02
  9.951903807615E-01 -4.581195892676E-02  3.338589777361E-02
  9.977955911824E-01 -4.714088990871E-02  3.519277100230E-02
  1.000400801603E+00 -4.830955299561E-02  3.698418038941E-02
  1.003006012024E+00 -4.931165760861E-02  3.874206277435E-02
  1.005611222445E+00 -5.016483589291E-02  4.046122723472E-02
  1.008216432866E+00 -5.086655383723E-02  4.212585395025E-02
  1.010821643287E+00 -5.142210033921E-02  4.372289074249E-02
  1.013426853707E+00 -5.187032250288E-02  4.526601401150E-02
  1.016032064128E+00 -5.219685886428E-02  4.673068205377E-02
  1.018637274549E+00 -5.241160456183E-02  4.811108991769E-02
  1.021242484970E+00 -5.254758140656E-02  4.942058983755E-02
  1.023847695391E+00 -5.261349622454E-02  5.065645432298E-02
  1.026452905812E+00 -5.260155946537E-02  5.180197512789E-02
  1.029058116232E+00 -5.253359133251E-02  5.286480212329E-02
  1.031663326653E+00 -5.243049214084E-02  5.385995587306E-02
  1.034268537074E+00 -5.227110873665E-02  5.475034552359E-02
  1.036873747495E+00 -5.214847564064E-02  5.564276428566E-02
  1.039478957916E+00 -5.197891133628E-02  5.642938704975E-02
  1.042084168337E+00 -5.182132731440E-02  5.717860834366E-02
  1.044689378758E+00 -5.165817159134E-02  5.786583853224E-02
  1.047294589178E+00 -5.151179637906E-02  5.851777491672E-02
  1.049899799599E+00 -5.142102815078E-02  5.919876466492E-02
  1.052505010020E+00 -5.131130012346E-02  5.978797503162E-02
  1.055110220441E+00 -5.126575645435E-02  6.043239350300E-02
  1.057715430862E+00 -5.123067257823E-02  6.103467390906E-02
  1.060320641283E+00 -5.126067820201E-02  6.171802669291E-02
  1.062925851703E+00 -5.131433940685E-02  6.240480794350E-02
  1.065531062124E+00 -5.138747498879E-02  6.308809154999E-02
  1.068136272545E+00 -5.150347370918E-02  6.383895986808E-02
  1.070741482966E+00 -5.163779399450E-02  6.460461621498E-02
  1.073346693387E+00 -5.185241585363E-02  6.561042415373E-02
  1.075951903808E+00 -5.204538436880E-02  6.654473666233E-02
  1.078557114228E+00 -5.226850766438E-02  6.760257005915E-02
  1.081162324649E+00 -5.249913346720E-02  6.873448919119E-02
  1.083767535070E+00 -5.273306462435E-02  6.994650948419E-02
  1.086372745491E+00 -5.295762325843E-02  7.120925629412E-02
  1.088977955912E+00 -5.319445499992E-02  7.268946345674E-02
  1.091583166333E+00 -5.339906861694E-02  7.419285914845E-02
  1.094188376754E+00 -5.359066347901E-02  7.590132408677E-02
  1.096793587174E+00 -5.374784866033E-02  7.775775032684E-02
  1.099398797595E+00 -5.384816844483E-02  7.946012754403E-02
  1.102004008016E+00 -5.390678708586E-02  8.127629073369E-02
  1.104609218437E+00 -5.391472898081E-02  8.322260176262E-02
  1.107214428858E+00 -5.386048802542E-02  8.538288068396E-02
  1.109819639279E+00 -5.373924221112E-02  8.752466502774E-02
  1.112424849699E+00 -5.353729554723E-02  8.981479255420E-02
  1.115030060120E+00 -5.328540763688E-02  9.188362628384E-02
  1.117635270541E+00 -5.286678633622E-02  9.476139620789E-02
  1.120240480962E+00 -5.258244713655E-02  9.596032451956E-02
  1.122845691383E+00 -5.200166085233E-02  9.876164965205E-02
  1.125450901804E+00 -5.139630412527E-02  1.011352255608E-01
  1.128056112224E+00 -5.065583560317E-02  1.037197299844E-01
  1.130661322645E+00 -5.000767349424E-02  1.054756800205E-01
  1.133266533066E+00 -4.908911375781E-02  1.080320987892E-01
  1.135871743487E+00 -4.814129710416E-02  1.103171426542E-01
  1.138476953908E+00 -4.712965093115E-02  1.124844920669E-01
  1.141082164329E+00 -4.584291187369E-02  1.152103925038E-01
  1.143687374749E+00 -4.523355056015E-02  1.156224540700E-01
  1.146292585170E+00 -4.317218172031E-02  1.199043876286E-01
